primary_threshold,secondary_threshold,f1_score,avg_labels,coverage
0.2,0.1,0.2173557739079677,4.959531539888682,0.9994782003710575
0.2,0.15,0.2212014555867088,4.8312847866419295,0.9966952690166976
0.3,0.1,0.2649479521354217,4.959531539888682,0.9994782003710575
0.3,0.15,0.2748911292728032,4.8312847866419295,0.9966952690166976
0.3,0.2,0.2904928284386247,4.52568413729128,0.9865491651205937
0.3,0.25,0.3067042461765929,4.019248608534323,0.953965677179963
0.4,0.1,0.26774978110711156,4.959531539888682,0.9994782003710575
0.4,0.15,0.2837002127701883,4.8312847866419295,0.9966952690166976
0.4,0.2,0.3096099971670496,4.52568413729128,0.9865491651205937
0.4,0.25,0.3396941274315021,4.019248608534323,0.953965677179963
0.4,0.3,0.36550615961435456,3.329777365491651,0.8843344155844156
0.4,0.35,0.3814319691626343,2.534612708719852,0.7721474953617811
0.5,0.1,0.23278529039789864,4.959531539888682,0.9994782003710575
0.5,0.15,0.2531567539620991,4.8312847866419295,0.9966952690166976
0.5,0.2,0.28780677180060227,4.52568413729128,0.9865491651205937
0.5,0.25,0.32925195213232916,4.019248608534323,0.953965677179963
0.5,0.3,0.3687198714515265,3.329777365491651,0.8843344155844156
0.5,0.35,0.3993766915443287,2.534612708719852,0.7721474953617811
0.6,0.1,0.1951162564451795,4.959531539888682,0.9994782003710575
0.6,0.15,0.2152160512239257,4.8312847866419295,0.9966952690166976
0.6,0.2,0.25139811346490815,4.52568413729128,0.9865491651205937
0.6,0.25,0.29845677586286556,4.019248608534323,0.953965677179963
0.6,0.3,0.34408141403320835,3.329777365491651,0.8843344155844156
0.6,0.35,0.38300664315590915,2.534612708719852,0.7721474953617811
