primary_threshold,secondary_threshold,f1_score,avg_labels,coverage
0.2,0.1,0.2583125233497847,4.897147495361781,0.9982606679035251
0.2,0.15,0.26711829612522453,4.648480983302412,0.9909554730983302
0.3,0.1,0.2828715810999469,4.897147495361781,0.9982606679035251
0.3,0.15,0.299512445470875,4.648480983302412,0.9909554730983302
0.3,0.2,0.32062081763481975,4.155090445269017,0.9651553803339518
0.3,0.25,0.34571924107846747,3.412569573283859,0.9106563079777366
0.4,0.1,0.271820988261203,4.897147495361781,0.9982606679035251
0.4,0.15,0.2957557095201437,4.648480983302412,0.9909554730983302
0.4,0.2,0.32637912613169884,4.155090445269017,0.9651553803339518
0.4,0.25,0.3644557733746781,3.412569573283859,0.9106563079777366
0.4,0.3,0.40208756544286445,2.510493970315399,0.8089053803339518
0.4,0.35,0.4257299670691548,1.6408858998144713,0.6556122448979592
0.5,0.1,0.23691920482922704,4.897147495361781,0.9982606679035251
0.5,0.15,0.26820631254811395,4.648480983302412,0.9909554730983302
0.5,0.2,0.30476297587583645,4.155090445269017,0.9651553803339518
0.5,0.25,0.34842592105954695,3.412569573283859,0.9106563079777366
0.5,0.3,0.39356554195775323,2.510493970315399,0.8089053803339518
0.5,0.35,0.4259495060373216,1.6408858998144713,0.6556122448979592
0.6,0.1,0.20986294905322767,4.897147495361781,0.9982606679035251
0.6,0.15,0.24445470875032077,4.648480983302412,0.9909554730983302
0.6,0.2,0.2844739357813642,4.155090445269017,0.9651553803339518
0.6,0.25,0.330398906816629,3.412569573283859,0.9106563079777366
0.6,0.3,0.37698393037044375,2.510493970315399,0.8089053803339518
0.6,0.35,0.4135675082327113,1.6408858998144713,0.6556122448979592
