primary_threshold,secondary_threshold,f1_score,avg_labels,coverage
0.2,0.1,0.2534847551134196,4.927121985157699,0.9990143784786641
0.2,0.15,0.2606986943794504,4.723967996289425,0.9947820037105751
0.3,0.1,0.29090980231045377,4.927121985157699,0.9990143784786641
0.3,0.15,0.30477984745814213,4.723967996289425,0.9947820037105751
0.3,0.2,0.32472268320377323,4.3102968460111315,0.9779684601113172
0.3,0.25,0.3513126253753473,3.6532351576994433,0.9376739332096475
0.4,0.1,0.27997378485977836,4.927121985157699,0.9990143784786641
0.4,0.15,0.30287560647036776,4.723967996289425,0.9947820037105751
0.4,0.2,0.33345707048650536,4.3102968460111315,0.9779684601113172
0.4,0.25,0.3720953413324362,3.6532351576994433,0.9376739332096475
0.4,0.3,0.41476659111996717,2.8116303339517623,0.8594619666048238
0.4,0.35,0.456123605559864,1.9156423933209648,0.7346938775510204
0.5,0.1,0.23879253846680557,4.927121985157699,0.9990143784786641
0.5,0.15,0.2705845412095982,4.723967996289425,0.9947820037105751
0.5,0.2,0.3104856319329199,4.3102968460111315,0.9779684601113172
0.5,0.25,0.35826511668473315,3.6532351576994433,0.9376739332096475
0.5,0.3,0.4111160123511248,2.8116303339517623,0.8594619666048238
0.5,0.35,0.4591859054664042,1.9156423933209648,0.7346938775510204
0.6,0.1,0.20702135360115817,4.927121985157699,0.9990143784786641
0.6,0.15,0.24234505251856128,4.723967996289425,0.9947820037105751
0.6,0.2,0.2866189186828544,4.3102968460111315,0.9779684601113172
0.6,0.25,0.339176914738534,3.6532351576994433,0.9376739332096475
0.6,0.3,0.39821730070121536,2.8116303339517623,0.8594619666048238
0.6,0.35,0.45222613295154007,1.9156423933209648,0.7346938775510204
