,Micro F1,Macro F1,Weighted F1,Sample F1,Micro Precision,Macro Precision,Micro Recall,Macro Recall,Coverage Rate,Conservation Rate
MiniLM L6 v2,0.4259495060373216,0.38593004333389813,0.47642484742896724,0.585408560311284,0.34276729559748426,0.35379360847223157,0.5624420222634509,0.5064230300152359,0.6556122448979592,0.5624420222634509
MPNet Base v2,0.3993766915443287,0.37526999246658493,0.48129312075084363,0.5212744656354807,0.2784729052771233,0.29211428310790444,0.7058209647495362,0.6398524928917155,0.7721474953617811,0.7058209647495362
DistilRoBERTa v1,0.4591859054664042,0.4226180634669637,0.5364286769741401,0.5999684343434344,0.34944462939983656,0.3730998579247064,0.6694109461966605,0.6128614684052228,0.7346938775510204,0.6694109461966605
Multi-QA MPNet,0.30906935233801935,0.2889694249873916,0.3647447983659319,0.37152618534732357,0.19932778758087555,0.21445716440353382,0.6876739332096475,0.5797032763318275,0.8343576066790352,0.6876739332096475
