primary_threshold,secondary_threshold,f1_score,avg_labels,coverage
0.2,0.1,0.17281230674087816,5.0,1.0
0.2,0.15,0.17289204402576552,4.994550092764379,0.9998840445269017
0.3,0.1,0.2110969387755102,5.0,1.0
0.3,0.15,0.2123720912238621,4.994550092764379,0.9998840445269017
0.3,0.2,0.21565572972446695,4.954893320964749,0.9980867346938775
0.3,0.25,0.2196144680080847,4.765711966604823,0.9850417439703154
0.4,0.1,0.2336696042053185,5.0,1.0
0.4,0.15,0.2356809872913322,4.994550092764379,0.9998840445269017
0.4,0.2,0.2438516210690293,4.954893320964749,0.9980867346938775
0.4,0.25,0.2597966756161573,4.765711966604823,0.9850417439703154
0.4,0.3,0.28110230176223533,4.287047773654916,0.942775974025974
0.4,0.35,0.2926530559066095,3.4499652133580705,0.8343576066790352
0.5,0.1,0.21082637600494744,5.0,1.0
0.5,0.15,0.2128169913147765,4.994550092764379,0.9998840445269017
0.5,0.2,0.22104955700516016,4.954893320964749,0.9980867346938775
0.5,0.25,0.24026868583265457,4.765711966604823,0.9850417439703154
0.5,0.3,0.2749613448695595,4.287047773654916,0.942775974025974
0.5,0.35,0.30906935233801935,3.4499652133580705,0.8343576066790352
0.6,0.1,0.17449366110080397,5.0,1.0
0.6,0.15,0.17645124475308044,4.994550092764379,0.9998840445269017
0.6,0.2,0.18444163177879466,4.954893320964749,0.9980867346938775
0.6,0.25,0.20251993524188763,4.765711966604823,0.9850417439703154
0.6,0.3,0.2343871654000943,4.287047773654916,0.942775974025974
0.6,0.35,0.2686539939806913,3.4499652133580705,0.8343576066790352
