primary_threshold,secondary_threshold,macro_f1,macro_precision,macro_recall,micro_f1,micro_precision,micro_recall,accuracy,sample_f1,sample_precision,sample_recall,avg_assignments,n_predictions,n_samples_with_predictions,n_correct_predictions
0.1,0.3,0.10204046349076211,0.6213384715106479,0.0586476970311413,0.11550675493837127,0.8061607813673929,0.06221011131725417,0.06221011131725417,0.06221011131725417,0.06221011131725417,0.06221011131725417,0.07716836734693877,17248,1233,1073
0.1,0.35,0.18070104815829074,0.5880283970484551,0.11445858737499273,0.20997218911402463,0.731994459833795,0.12256493506493507,0.12256493506493507,0.12256493506493507,0.12256493506493507,0.12256493506493507,0.16743970315398887,17248,2486,2114
0.1,0.39999999999999997,0.2681767147928511,0.549848427531467,0.1925667128508358,0.31736710635873616,0.6499730748519117,0.20993738404452691,0.20993738404452691,0.20993738404452691,0.20993738404452691,0.20993738404452691,0.3229939703153989,17248,4437,3621
0.1,0.44999999999999996,0.3345816212841912,0.49900930305106117,0.27767006930272115,0.39919609959432806,0.5574264629456398,0.31093460111317256,0.31093460111317256,0.31093460111317256,0.31093460111317256,0.31093460111317256,0.5578038033395176,17248,6955,5363
0.1,0.49999999999999994,0.36316802440978824,0.4404485017582265,0.3525566304907657,0.4389728940913466,0.47255832609131626,0.40984461966604824,0.40984461966604824,0.40984461966604824,0.40984461966604824,0.40984461966604824,0.867288961038961,17248,9794,7069
0.1,0.5499999999999999,0.35589213370020956,0.3863185675482401,0.40369498566933104,0.44007108880873974,0.40063767012467877,0.48811456400742115,0.48811456400742115,0.48811456400742115,0.48811456400742115,0.48811456400742115,1.218344155844156,17248,12655,8419
0.1,0.5999999999999999,0.318369389027319,0.33960399055498036,0.40704529731717143,0.4056061604161461,0.3334453781512605,0.5176252319109462,0.5176252319109462,0.5176252319109462,0.5176252319109462,0.5176252319109462,1.552353896103896,17248,14921,8928
0.1,0.6499999999999999,0.2546113295847757,0.29345824045896657,0.3570593448025434,0.339794517698931,0.2649348122202763,0.47362012987012986,0.47362012987012986,0.47362012987012986,0.47362012987012986,0.47362012987012986,1.7876855287569573,17248,16260,8169
0.1,0.7,0.18375907187883217,0.2528768517542764,0.28283738680874315,0.26234054353854686,0.1992417860151643,0.38392857142857145,0.38392857142857145,0.38392857142857145,0.38392857142857145,0.38392857142857145,1.926948051948052,17248,16960,6622
0.1,0.7499999999999999,0.11643256559157232,0.22900997828220301,0.20754519880510056,0.18184290264936678,0.1367274214277369,0.27139378478664195,0.27139378478664195,0.27139378478664195,0.27139378478664195,0.27139378478664195,1.9849257884972171,17248,17199,4681
0.1,0.7999999999999998,0.0600801899669739,0.20819782583357357,0.15352875721447312,0.1205024154589372,0.09037157266245435,0.18077458256029685,0.18077458256029685,0.18077458256029685,0.18077458256029685,0.18077458256029685,2.000347866419295,17248,17247,3118
0.15000000000000002,0.3,0.10219065482488765,0.6204692180400639,0.05874626373376931,0.11569714254964214,0.8052434456928839,0.062326066790352505,0.062326066790352505,0.062326066790352505,0.062326066790352505,0.062326066790352505,0.07740027829313544,17248,1233,1075
0.15000000000000002,0.35,0.18119036657690407,0.5878520677899718,0.11484505686485397,0.21055243956916664,0.7316315971024491,0.12297077922077922,0.12297077922077922,0.12297077922077922,0.12297077922077922,0.12297077922077922,0.16807745825602968,17248,2486,2121
0.15000000000000002,0.39999999999999997,0.26892158098624663,0.5495821994916015,0.1934206918896561,0.3183787805838841,0.6495802821932488,0.21086502782931354,0.21086502782931354,0.21086502782931354,0.21086502782931354,0.21086502782931354,0.32461734693877553,17248,4437,3637
0.15000000000000002,0.44999999999999996,0.33551960084539223,0.4983266540304862,0.2788591969813768,0.4001932223543401,0.5572226821192053,0.3122101113172542,0.3122101113172542,0.3122101113172542,0.3122101113172542,0.3122101113172542,0.5602968460111317,17248,6955,5385
