primary_threshold,secondary_threshold,macro_f1,macro_precision,macro_recall,avg_assignments,n_predictions
0.1,0.3,0.06077033085961656,0.060064935064935064,0.06221011131725417,0.07716836734693877,17248
0.1,0.35,0.11680581323438466,0.11395524118738404,0.12256493506493507,0.16743970315398887,17248
0.1,0.39999999999999997,0.19479553184910325,0.18727775200989488,0.20993738404452691,0.3229939703153989,17248
0.1,0.44999999999999996,0.2771239177489177,0.2602910482374768,0.31093460111317256,0.5578038033395176,17248
0.1,0.49999999999999994,0.3469967532467532,0.315669449598021,0.40984461966604824,0.867288961038961,17248
0.1,0.5499999999999999,0.393262987012987,0.3459434910327768,0.48811456400742115,1.218344155844156,17248
0.1,0.5999999999999999,0.3936495052566481,0.33176793444650593,0.5176252319109462,1.552353896103896,17248
0.1,0.6499999999999999,0.3425711193568336,0.2771529066171924,0.47362012987012986,1.7876855287569573,17248
0.1,0.7,0.2669101731601731,0.20850726654298082,0.38392857142857145,1.926948051948052,17248
0.1,0.7499999999999999,0.1835768398268398,0.13977465986394555,0.27139378478664195,1.9849257884972171,17248
0.1,0.7999999999999998,0.12047773654916512,0.09043560606060606,0.18077458256029685,2.000347866419295,17248
0.15000000000000002,0.3,0.0608128478664193,0.060089092455163876,0.062326066790352505,0.07740027829313544,17248
0.15000000000000002,0.35,0.11697394867037723,0.11405670222634506,0.12297077922077922,0.16807745825602968,17248
0.15000000000000002,0.39999999999999997,0.1951569264069264,0.18748550556586271,0.21086502782931354,0.32461734693877553,17248
0.15000000000000002,0.44999999999999996,0.2775722789115646,0.2605277906617192,0.3122101113172542,0.5602968460111317,17248
0.15000000000000002,0.49999999999999994,0.3478412956091527,0.31618641774891776,0.41181586270871984,0.8701878478664193,17248
0.15000000000000002,0.5499999999999999,0.3944553957946815,0.3467116960420532,0.4906655844155844,1.2214749536178107,17248
0.15000000000000002,0.5999999999999999,0.39499652133580704,0.33265209492888065,0.5204081632653061,1.555484693877551,17248
0.15000000000000002,0.6499999999999999,0.34391813543599253,0.2780370670995671,0.4764030612244898,1.7908163265306123,17248
0.15000000000000002,0.7,0.26825718923933206,0.20939142702535557,0.38671150278293137,1.930078849721707,17248
0.15000000000000002,0.7499999999999999,0.18492385590599875,0.14065882034632032,0.27417671614100186,1.988056586270872,17248
0.15000000000000002,0.7999999999999998,0.12182475262832407,0.09131976654298082,0.18355751391465677,2.00347866419295,17248
0.20000000000000004,0.3,0.06085536487322201,0.0601132498453927,0.06244202226345084,0.0778061224489796,17248
0.20000000000000004,0.35,0.11722325293753864,0.11419391620284476,0.1236665120593692,0.16958487940630798,17248
0.20000000000000004,0.39999999999999997,0.1955762987012987,0.18768552875695735,0.21219851576994433,0.3278061224489796,17248
0.20000000000000004,0.44999999999999996,0.2784071583178726,0.2609307359307359,0.3148191094619666,0.5662685528756958,17248
0.20000000000000004,0.49999999999999994,0.3495651669758812,0.31719812925170066,0.41610621521335805,0.8775510204081632,17248
0.20000000000000004,0.5499999999999999,0.3968846629560915,0.34820655534941247,0.4962894248608534,1.229997680890538,17248
0.20000000000000004,0.5999999999999999,0.3981408472479901,0.3346784168212739,0.5271335807050093,1.5641233766233766,17248
0.20000000000000004,0.6499999999999999,0.3474103277674706,0.2803242888064316,0.48365027829313545,1.7994550092764379,17248
0.20000000000000004,0.7,0.2717880333951762,0.2117076376004947,0.3940166975881262,1.9387175324675325,17248
0.20000000000000004,0.7499999999999999,0.1884547000618429,0.14297503092145947,0.2814819109461967,1.9966952690166977,17248
0.20000000000000004,0.7999999999999998,0.12535559678416822,0.09363597711811997,0.1908627087198516,2.0121173469387754,17248
0.25000000000000006,0.3,0.060839904143475565,0.06009102504638218,0.0625,0.07832792207792208,17248
0.25000000000000006,0.35,0.11731988249845393,0.1141997139764997,0.12424628942486085,0.1720199443413729,17248
0.25000000000000006,0.39999999999999997,0.19605171614100186,0.18787492269635128,0.21399582560296845,0.3334879406307978,17248
0.25000000000000006,0.44999999999999996,0.279605364873222,0.26145833333333335,0.31893552875695735,0.577284322820037,17248
0.25000000000000006,0.49999999999999994,0.35228045763760046,0.3186630333951762,0.4237012987012987,0.8936688311688312,17248
0.25000000000000006,0.5499999999999999,0.40092377860234996,0.35058944032158323,0.506319573283859,1.2480867346938775,17248
0.25000000000000006,0.5999999999999999,0.4036680581323438,0.3381532158317873,0.5395408163265306,1.5829661410018554,17248
0.25000000000000006,0.6499999999999999,0.3538072047000618,0.2844465058750773,0.49739100185528756,1.8185296846011132,17248
0.25000000000000006,0.7,0.27830086580086577,0.21591682127396414,0.4079313543599258,1.9577922077922079,17248
0.25000000000000006,0.7499999999999999,0.1950448361162647,0.14724219233147803,0.2955125231910946,2.015769944341373,17248
0.25000000000000006,0.7999999999999998,0.13194573283858996,0.09790313852813852,0.20489332096474955,2.031192022263451,17248
0.30000000000000004,0.35,0.11757843559501722,0.11431493322437199,0.12528988868274582,0.17660018552875695,17248
0.30000000000000004,0.39999999999999997,0.19712513252054067,0.18839363938215978,0.21770640074211503,0.3451994434137291,17248
0.30000000000000004,0.44999999999999996,0.28175330197013865,0.2624234785905704,0.32653061224489793,0.6001275510204082,17248
0.30000000000000004,0.49999999999999994,0.3560865579998233,0.32042054105191864,0.4365143784786642,0.9289192949907236,17248
0.30000000000000004,0.5499999999999999,0.40708377506846893,0.35380605434814616,0.5245245825602969,1.2911641929499071,17248
